,,,,,,,,,
Cable ID,Cable code,Voltage level,Current Capacity (A) at 20°C ...,Current Capacity (A) at 20°C :.,Resistance (ohm/km),Inductance ... (mH/km),Inductance :. (mH/km),Capacitance (uF/km),Price (TL/km)
1,1x10 mm2,0.6/1 kV,81,69,1.83,0.34,0.41,NA,102300
2,1x16 mm2,0.6/1 kV,108,92,1.15,0.317,0.387,NA,156600
3,1x25 mm2,0.6/1 kV,146,124,0.727,0.304,0.374,NA,241400
4,1x35 mm2,0.6/1 kV,180,153,0.524,0.291,0.36,NA,328300
5,1x50 mm2,0.6/1 kV,220,187,0.387,0.281,0.351,NA,434000
6,1x70 mm2,0.6/1 kV,279,237,0.268,0.272,0.341,NA,623000
7,1x95 mm2,0.6/1 kV,347,294,0.193,0.264,0.333,NA,847000
8,1x120 mm2,0.6/1 kV,405,343,0.153,0.259,0.329,NA,1080000
9,3x16+10 mm2,0.6/1 kV,NA,89,1.15,NA,0.264,NA,640000
10,3x25+16 mm2,0.6/1 kV,NA,120,0.727,NA,0.265,NA,990000
11,3x35+16 mm2,0.6/1 kV,NA,147,0.524,NA,0.258,NA,1300000
12,3x50+25 mm2,0.6/1 kV,NA,179,0.387,NA,0.256,NA,1750000
13,3x70+35 mm2,0.6/1 kV,NA,224,0.268,NA,0.253,NA,2520000
14,3x95+50 mm2,0.6/1 kV,NA,277,0.193,NA,0.247,NA,3400000
15,3x120+70 mm2,0.6/1 kV,NA,323,0.153,NA,0.246,NA,4400000
16,3x150+70 mm2,0.6/1 kV,NA,368,0.124,NA,0.248,NA,5200000
17,1x25 mm2,3.6/6 kV,196,163,0.727,0.77,0.43,0.25,351000
18,1x35 mm2,3.6/6 kV,238,198,0.524,0.75,0.41,0.28,532000
19,1x50 mm2,3.6/6 kV,286,238,0.387,0.72,0.39,0.31,638000
20,1x70 mm2,3.6/6 kV,356,296,0.268,0.68,0.37,0.36,825000
21,1x95 mm2,3.6/6 kV,434,361,0.193,0.65,0.36,0.4,1070000
22,1x120 mm2,3.6/6 kV,600,417,0.153,0.63,0.34,0.44,1300000
23,1x150 mm2,3.6/6 kV,559,473,0.124,0.62,0.33,0.48,1640000
24,1x185 mm2,3.6/6 kV,637,543,0.0991,0.6,0.32,0.52,1950000
25,3x25+16 mm2,3.6/6 kV,NA,143,0.727,NA,0.37,0.25,1647000
26,3x35+16 mm2,3.6/6 kV,NA,172,0.524,NA,0.35,0.28,2002000
27,3x50+16 mm2,3.6/6 kV,NA,205,0.387,NA,0.34,0.3,2594000
28,3x70+16 mm2,3.6/6 kV,NA,253,0.268,NA,0.32,0.35,3450000
29,3x95+16 mm2,3.6/6 kV,NA,307,0.193,NA,0.31,0.39,4727000
30,3x120+16 mm2,3.6/6 kV,NA,352,0.153,NA,0.3,0.43,5784000
